id,authors,original_publication_year,title,mood_tag
2534,Sapphire,1996.0,Push,thoughtful
2535,"Elena Ferrante, Ann Goldstein",2012.0,The Story of a New Name (The Neapolitan Novels #2),nostalgic
2536,Arthur C. Clarke,1982.0,"2010: Odyssey Two (Space Odyssey, #2)",thoughtful
2537,Atsushi Ohkubo,2004.0,"Soul Eater, Vol. 01 (Soul Eater, #1)",thoughtful
2538,William Kent Krueger,2013.0,Ordinary Grace,thoughtful
2539,David Baldacci,2001.0,Last Man Standing,thoughtful
2540,Gene Luen Yang,2006.0,American Born Chinese,thoughtful
2541,"Eugene Bradley Coco, Ron Dias, Walt Disney Company",1960.0,Peter Pan (A Little Golden Book),nostalgic
2542,K.A. Tucker,2012.0,"Ten Tiny Breaths (Ten Tiny Breaths, #1)",thoughtful
2543,David Mitchell,2010.0,The Thousand Autumns of Jacob de Zoet,thoughtful
2544,Christopher Marlowe,1604.0,Dr. Faustus,thoughtful
2545,Sherrilyn Kenyon,2003.0,Dance with the Devil (Dark-Hunter #3),thoughtful
2546,Candace Bushnell,2005.0,Lipstick Jungle,thoughtful
2547,James Patterson,2001.0,"Violets Are Blue (Alex Cross, #7)",thoughtful
2548,"Anthony Robbins, Tony Robbins, Frederick L. Covan",1992.0,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",thoughtful
2549,Laurell K. Hamilton,1998.0,"Blue Moon (Anita Blake, Vampire Hunter, #8)",dark
2550,Laurell K. Hamilton,1998.0,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)",dark
2551,Diane Chamberlain,2014.0,"The Silent Sister (Riley MacPherson, #1)",thoughtful
2552,Kurt Vonnegut Jr.,1952.0,Player Piano,thoughtful
2553,Arthur Conan Doyle,1912.0,"The Lost World (Professor Challenger, #1)",adventurous
2554,Terry Pratchett,2003.0,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",thoughtful
2555,Octavia E. Butler,1979.0,Kindred,thoughtful
2556,"Laura Ingalls Wilder, Garth Williams",1940.0,"The Long Winter (Little House, #6)",thoughtful
2557,"Henry Cloud, John Townsend",1992.0,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",poignant
2558,Maggie Stiefvater,2014.0,"Blue Lily, Lily Blue (The Raven Cycle, #3)",thoughtful
2559,"Philip Roth, Luca Marinelli",1969.0,Portnoy's Complaint,thoughtful
2560,"John C. Maxwell, Zig Ziglar",1998.0,The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,thoughtful
2561,Margaret Atwood,1988.0,Cat's Eye,thoughtful
2562,J. Sterling,2012.0,"The Perfect Game (The Perfect Game, #1)",thoughtful
2563,Patrick Ness,2010.0,"Monsters of Men (Chaos Walking, #3)",thoughtful
2564,Orson Scott Card,2005.0,"Shadow of the Giant (Ender's Shadow, #4)",dark
2565,Brian Selznick,2011.0,Wonderstruck,thoughtful
2566,Sarah Ban Breathnach,1995.0,Simple Abundance:  A Daybook of Comfort and Joy,thoughtful
2567,Moira Young,2011.0,"Blood Red Road (Dust Lands, #1)",dark
2568,"James Patterson, Maxine Paetro",2007.0,"The 6th Target (Women's Murder Club, #6)",thoughtful
2569,"Edgar Rice Burroughs, John Seelye",1912.0,"A Princess of Mars (Barsoom, #1)",thoughtful
2570,Margaret Atwood,2013.0,"MaddAddam (MaddAddam, #3)",thoughtful
2571,"Laura Ingalls Wilder, Garth Williams",1943.0,"These Happy Golden Years (Little House, #8)",nostalgic
2572,Victoria Finlay,2003.0,Color: A Natural History of the Palette,thoughtful
2573,John Grisham,2001.0,Skipping Christmas,thoughtful
2574,Michael Connelly,1993.0,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",thoughtful
2575,Kristin Hannah,2012.0,Home Front,thoughtful
2576,Christina Lauren,2013.0,"Beautiful Stranger (Beautiful Bastard, #2)",thoughtful
2577,Libba Bray,2007.0,"The Sweet Far Thing (Gemma Doyle, #3)",thoughtful
2578,Ernest J. Gaines,1993.0,A Lesson Before Dying,thoughtful
2579,David Sedaris,1998.0,SantaLand Diaries,thoughtful
2580,Nicholas Sparks,2015.0,See Me,romantic
2581,Sophie Kinsella,2010.0,"Mini Shopaholic (Shopaholic, #6)",thoughtful
2582,"Gene Zion, Margaret Bloy Graham",1956.0,Harry the Dirty Dog,thoughtful
2583,Jennifer Weiner,2014.0,All Fall Down,thoughtful
2584,George Orwell,1933.0,Down and Out in Paris and London,thoughtful
2585,Hiro Fujiwara,2006.0,"Maid-sama! Vol. 01 (Maid-sama!, #1)",tense
2586,Nick Bantock,1991.0,Griffin and Sabine (Griffin & Sabine #1),thoughtful
2587,Leigh Bardugo,2014.0,"Ruin and Rising (Shadow and Bone, #3)",dark
2588,Ø£Ø­Ù…Ø¯ Ø®Ø§Ù„Ø¯ ØªÙˆÙÙŠÙ‚,2008.0,ÙŠÙˆØªÙˆØ¨ÙŠØ§,thoughtful
2589,Jennifer Weiner,2000.0,Certain Girls (Cannie Shapiro #2),thoughtful
2590,Cheryl Strayed,2012.0,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,romantic
2591,Karen Marie Moning,1999.0,"Beyond the Highland Mist (Highlander, #1)",thoughtful
2592,Ann Rule,1980.0,The Stranger Beside Me: Ted Bundy The Shocking Inside Story,thoughtful
2593,Claudia Gray,2009.0,"Stargazer (Evernight, #2)",dark
2594,Michael Crichton,1992.0,Rising Sun,thoughtful
2595,Sidney Sheldon,1973.0,The Other Side of Midnight (Midnight #1),dark
2596,Michael Connelly,2010.0,"The Reversal (Harry Bosch, #16; Mickey Haller, #4; Harry Bosch Universe, #19)",thoughtful
2597,"Louis Sachar, Joel Schick",1989.0,Wayside School Is Falling Down (Wayside School #2),thoughtful
2598,"Julie Orringer, Arthur Morey",2010.0,The Invisible Bridge,thoughtful
2599,Pittacus Lore,2013.0,"The Fall of Five (Lorien Legacies, #4)",thoughtful
2600,"Thomas Hardy, Keith Wilson",1886.0,The Mayor of Casterbridge,thoughtful
2601,John Steinbeck,1933.0,The Red Pony,thoughtful
2602,Jo NesbÃ¸,2003.0,"The Devil's Star (Harry Hole, #5)",thoughtful
2603,Alice Hoffman,1997.0,Here on Earth,thoughtful
2604,"Anne Rice, Tim Curry",1994.0,"Taltos (Lives of the Mayfair Witches, #3)",magical
2605,Laurell K. Hamilton,2000.0,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",dark
2606,Peter V. Brett,2013.0,"The Daylight War (Demon Cycle, #3)",tense
2607,John Grisham,2008.0,The Appeal,thoughtful
2608,Tamora Pierce,1986.0,"The Woman Who Rides Like a Man (Song of the Lioness, #3)",thoughtful
2609,Ben Aaronovitch,2011.0,"Midnight Riot (Peter Grant, #1)",dark
2610,Marian Keyes,1996.0,Lucy Sullivan Is Getting Married,thoughtful
2611,Terry Pratchett,2004.0,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",thoughtful
2612,Vikram Seth,1993.0,"A Suitable Boy (A Suitable Boy, #1)",thoughtful
2613,Chimamanda Ngozi Adichie,2014.0,We Should All Be Feminists,thoughtful
2614,Patricia Briggs,2011.0,"River Marked (Mercy Thompson, #6)",thoughtful
2615,Amy Sedaris,2006.0,I Like You: Hospitality Under the Influence,thoughtful
2616,William Gibson,2003.0,"Pattern Recognition (Blue Ant, #1)",thoughtful
2617,Peter  Swanson,2015.0,The Kind Worth Killing,thoughtful
2618,Patricia Schultz,2003.0,"1,000 Places to See Before You Die",thoughtful
2619,"Angie Sage, Mark Zug",2007.0,"Physik (Septimus Heap, #3)",thoughtful
2620,"Roald Dahl, Quentin Blake",1984.0,Boy: Tales of Childhood,poignant
2621,Anne Lamott,1999.0,Traveling Mercies: Some Thoughts on Faith,thoughtful
2622,Vince Flynn,2004.0,"Memorial Day (Mitch Rapp, #7)",thoughtful
2623,Tamora Pierce,1992.0,"Wild Magic (Immortals, #1)",magical
2624,Isaac Asimov,1988.0,Prelude to Foundation,thoughtful
2625,Max Lucado,1997.0,"You Are Special (Wemmicksville, #1)",thoughtful
2626,Renee Ahdieh,2015.0,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",thoughtful
2627,"Nicholas D. Kristof, Sheryl WuDunn",2008.0,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,thoughtful
2628,"Daniel Handler, Maira Kalman",2011.0,Why We Broke Up,thoughtful
2629,Sarah J. Maas,2014.0,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",tense
2630,Curtis Sittenfeld,2008.0,American Wife,thoughtful
2631,Jim Butcher,2006.0,"Cursor's Fury (Codex Alera, #3)",thoughtful
2632,Mary Doria Russell,1996.0,"The Sparrow (The Sparrow, #1)",thoughtful
2633,Jodi Picoult,1996.0,Mercy,thoughtful
2634,Charlie N. Holmberg,2014.0,"The Paper Magician (The Paper Magician Trilogy, #1)",magical
2635,Steve Harvey,2009.0,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",romantic
2636,Candice Millard,2011.0,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",thoughtful
2637,"Shirley Jackson, Jonathan Lethem",1962.0,We Have Always Lived in the Castle,thoughtful
2638,Emerson Eggerichs,2004.0,Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,romantic
2639,Michael Connelly,2008.0,"The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #17)",thoughtful
2640,Timothy Zahn,1992.0,Dark Force Rising,thoughtful
2641,Lee Child,2013.0,"Never Go Back (Jack Reacher, #18)",thoughtful
2642,Gail Carson Levine,2001.0,The Two Princesses of Bamarre,thoughtful
2643,"Richard Wright, Jerry W. Ward Jr.",1945.0,Black Boy,tense
2644,Lalita Tademy,2001.0,Cane River,thoughtful
2645,Terry Goodkind,2006.0,"Phantom (Sword of Truth, #10)",adventurous
2646,Isaac Asimov,1986.0,Foundation and Earth (Foundation #5),thoughtful
2647,"James D. Bradley, Ron Powers",2000.0,Flags of Our Fathers,poignant
2648,"A.A. Milne, Ernest H. Shepard",1926.0,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",thoughtful
2649,Mahatma Gandhi,1940.0,The Story of My Experiments With Truth,thoughtful
2650,"Lance Armstrong, Sally Jenkins",1999.0,It's Not About the Bike: My Journey Back to Life,adventurous
2651,Stephen E. Ambrose,1996.0,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,thoughtful
2652,Helen Macdonald,2015.0,H is for Hawk,thoughtful
2653,David Nicholls,2014.0,Us,thoughtful
2654,R.A. Salvatore,1990.0,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)",thoughtful
2655,"Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata",2009.0,"Ender's Game, Volume 1: Battle School (Ender's Saga)",tense
2656,"Karuho Shiina, Tomo Kimura",2006.0,"Kimi ni Todoke: From Me to You, Vol. 1",thoughtful
2657,Dean Koontz,1999.0,False Memory,thoughtful
2658,Terry Pratchett,1990.0,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",thoughtful
2659,C.J. Roberts,2011.0,"Captive in the Dark (The Dark Duet, #1)",thoughtful
2660,James Allen,1902.0,As a Man Thinketh,thoughtful
2661,Mary Roach,2008.0,Bonk: The Curious Coupling of Science and Sex,thoughtful
2662,Rachel Caine,2007.0,"Midnight Alley (The Morganville Vampires, #3)",dark
2663,"Nina George, Simon Pare",2013.0,The Little Paris Bookshop,thoughtful
2664,Ian McEwan,2012.0,Sweet Tooth,thoughtful
2665,Abbi Glines,2013.0,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)",thoughtful
2666,Tom Clancy,1996.0,"Executive Orders (Jack Ryan Universe, #9)",thoughtful
2667,Ann Voskamp,2011.0,One Thousand Gifts: A Dare to Live Fully Right Where You Are,thoughtful
2668,Robert Bloch,1959.0,Psycho,thoughtful
2669,Robin Hobb,1998.0,"Ship of Magic (Liveship Traders, #1)",magical
2670,"Alistair MacLean, Clint Willis",1967.0,Where Eagles Dare ,thoughtful
2671,Maeve Binchy,1990.0,Circle of Friends,thoughtful
2672,Rupi Kaur,2014.0,Milk and Honey,thoughtful
2673,Tom Clancy,1998.0,"Rainbow Six (Jack Ryan Universe, #10)",thoughtful
2674,Neil Gaiman,2006.0,Fragile Things: Short Fictions and Wonders,thoughtful
2675,Rosamund Lupton,2010.0,Sister,thoughtful
2676,"Liu Cixin, Ken Liu",2007.0,"The Three-Body Problem (Remembrance of Earthâ€™s Past, #1)",nostalgic
2677,Terry Pratchett,2001.0,"Thief of Time (Discworld, #26; Death, #5)",poignant
2678,"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",2003.0,Superman: Red Son,thoughtful
2679,Julia Glass,2002.0,Three Junes,thoughtful
2680,"Benjamin Franklin, Lewis Leary",1791.0,The Autobiography of Benjamin Franklin,thoughtful
2681,Timothy J. Keller,2007.0,The Reason for God: Belief in an Age of Skepticism,thoughtful
2682,Mark  Lawrence,2012.0,"King of Thorns (The Broken Empire, #2)",thoughtful
2683,Jeffrey Archer,2012.0,"The Sins of the Father (The Clifton Chronicles, #2)",poignant
2684,Meg Cabot,2000.0,"Shadowland (The Mediator, #1)",dark
2685,Sara Shepard,2009.0,"Killer (Pretty Little Liars, #6)",thoughtful
2686,"W. Chan Kim, RenÃ©e Mauborgne",2004.0,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,thoughtful
2687,James Patterson,2010.0,"Fang (Maximum Ride, #6)",thoughtful
2688,Sarah Addison Allen,2011.0,The Peach Keeper,thoughtful
2689,"Audrey Wood, Don    Wood",1984.0,The Napping House,thoughtful
2690,Matthew FitzSimmons,2015.0,"The Short Drop (Gibson Vaughn, #1)",thoughtful
2691,Christopher Moore,2007.0,"You Suck (A Love Story, #2)",romantic
2692,Jamie McGuire,2014.0,"Beautiful Oblivion (The Maddox Brothers, #1)",thoughtful
2693,Vernor Vinge,1992.0,"A Fire Upon the Deep (Zones of Thought, #1)",thoughtful
2694,Eckhart Tolle,1999.0,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",thoughtful
2695,Caroline B. Cooney,1990.0,"The Face on the Milk Carton (Janie Johnson, #1)",thoughtful
2696,Robert Lopshire,1960.0,Put Me in the Zoo,thoughtful
2697,Sophie Jordan,2010.0,"Firelight (Firelight, #1)",thoughtful
2698,"Italo Calvino, William Weaver",1972.0,Invisible Cities,thoughtful
2699,Jessica Park,2011.0,"Flat-Out Love (Flat-Out Love, #1)",romantic
2700,Richard Flanagan,2013.0,The Narrow Road to the Deep North,thoughtful
2701,"A.N. Roquelaure, Anne Rice",1983.0,"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)",thoughtful
2702,Jennifer Worth,2002.0,"The Midwife: A Memoir of Birth, Joy, and Hard Times",poignant
2703,Hunter S. Thompson,1966.0,Hell's Angels: A Strange and Terrible Saga,thoughtful
2704,Jennifer Weiner,2010.0,Then Came You,thoughtful
2705,L.J. Smith,1991.0,"The Awakening (The Vampire Diaries, #1)",dark
2706,Susan Elizabeth Phillips,1994.0,"It Had to Be You (Chicago Stars, #1)",thoughtful
2707,Michael   Lewis,2011.0,Boomerang: Travels in the New Third World,thoughtful
2708,Jennifer Weiner,2010.0,Fly Away Home,thoughtful
2709,"Stendhal, Roger Gard",1830.0,The Red and the Black,thoughtful
2710,Philippa Gregory,2004.0,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)",romantic
2711,Catherine Fisher,2007.0,"Incarceron (Incarceron, #1)",thoughtful
2712,C.C. Hunter,2011.0,"Awake at Dawn (Shadow Falls, #2)",dark
2713,Bev Vincent,2004.0,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,dark
2714,Josephine Angelini,2011.0,"Starcrossed (Starcrossed, #1)",thoughtful
2715,Alyson Noel,2010.0,"Night Star (The Immortals, #5)",dark
2716,N.H. Kleinbaum,1988.0,Dead Poets Society,thoughtful
2717,Emily Bleeker,2015.0,Wreckage,thoughtful
2718,Terry Pratchett,1999.0,"The Fifth Elephant (Discworld, #24; City Watch, #5)",thoughtful
2719,John Flanagan,2006.0,"The Sorcerer in the North (Ranger's Apprentice, #5)",magical
2720,Paramahansa Yogananda,1946.0,Autobiography of a Yogi,thoughtful
2721,Kevin Hearne,2011.0,"Hexed (The Iron Druid Chronicles, #2)",thoughtful
2722,"Alvin Schwartz, Stephen Gammell",1981.0,"Scary Stories to Tell in the Dark (Scary Stories, #1)",tense
2723,Harlan Coben,2016.0,Fool Me Once,thoughtful
2724,John Hersey,1946.0,Hiroshima,thoughtful
2725,Jennifer Brown,2009.0,Hate List,thoughtful
2726,Kasie West,2013.0,The Distance Between Us,thoughtful
2727,Karen Armstrong,1975.0,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",adventurous
2728,James S.A. Corey,2013.0,"Abaddon's Gate (The Expanse, #3)",thoughtful
2729,"Pablo Neruda, W.S. Merwin, Cristina GarcÃ­a",1924.0,Twenty Love Poems and a Song of Despair,romantic
2730,Tom Clancy,1988.0,"The Cardinal of the Kremlin (Jack Ryan Universe, #5)",thoughtful
2731,David Shannon,1998.0,"No, David!",thoughtful
2732,"Thomas More, Paul Turner",1516.0,Utopia,thoughtful
2733,"Pseudonymous Bosch, Gilbert Ford",2007.0,"The Name of This Book Is Secret (Secret, #1)",mysterious
2734,Danielle  Paige,2014.0,"Dorothy Must Die (Dorothy Must Die, #1)",thoughtful
2735,Dean Koontz,2006.0,The Husband,thoughtful
2736,Aimee Bender,2010.0,The Particular Sadness of Lemon Cake,thoughtful
2737,James Patterson,2003.0,"The Big Bad Wolf  (Alex Cross, #9)",thoughtful
2738,"Dai Sijie, Ina Rilke",2000.0,Balzac and the Little Chinese Seamstress,thoughtful
2739,Roxane Gay,2014.0,Bad Feminist,thoughtful
2740,V.C. Andrews,1980.0,"Petals on the Wind (Dollanganger, #2)",thoughtful
2741,"Roald Dahl, Quentin Blake",1975.0,Danny the Champion of the World,thoughtful
2742,Amy Chua,2011.0,Battle Hymn of the Tiger Mother,tense
2743,Noelle Stevenson,2015.0,Nimona,thoughtful
2744,Giada De Laurentiis,2005.0,Everyday Italian: 125 Simple and Delicious Recipes,thoughtful
2745,Patricia Cornwell,1995.0,"From Potter's Field (Kay Scarpetta, #6)",thoughtful
2746,James Patterson,2005.0,"Mary, Mary (Alex Cross, #11)",thoughtful
2747,Jeanette Winterson,1985.0,Oranges Are Not the Only Fruit,thoughtful
2748,R.K. Lilley,2013.0,"Grounded (Up in the Air, #3)",thoughtful
2749,Ravinder Singh,2007.0,I Too Had a Love Story,romantic
2750,"Betty MacDonald, Alexandra Boiger",1947.0,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",thoughtful
2751,Michael Connelly,1997.0,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",thoughtful
2752,Dan   Harris,2014.0,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",thoughtful
2753,"Ina Garten, Quentin Bacon",2006.0,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,thoughtful
2754,Michael Connelly,1998.0,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",dark
2755,Isaac Asimov,1972.0,The Gods Themselves,thoughtful
2756,Peter Lerangis,2010.0,"The Viper's Nest (39 Clues, #7)",mysterious
2757,Sena Jeter Naslund,1999.0,"Ahab's Wife, or The Star-Gazer",thoughtful
2758,"CLAMP, Anthony Gerard",2004.0,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 01",thoughtful
2759,Darren Shan,2000.0,"A Living Nightmare (Cirque Du Freak, #1)",dark
2760,"Alan Moore, Kevin O'Neill",2000.0,"The League of Extraordinary Gentlemen, Vol. 1",thoughtful
2761,M.T. Anderson,2002.0,Feed,thoughtful
2762,Nalini Singh,2009.0,"Angels' Blood (Guild Hunter, #1)",dark
2763,"Euripides, Rex Warner",-431.0,Medea,tense
2764,Cinda Williams Chima,2009.0,"The Demon King (Seven Realms, #1)",dark
2765,Hannah Hurnard,1955.0,Hinds' Feet on High Places,thoughtful
2766,Charles Burns,1995.0,Black Hole,thoughtful
2767,"Brian K. Vaughan, Fiona Staples",2014.0,"Saga, Vol. 3 (Saga, #3)",thoughtful
2768,Lee Child,2014.0,"Personal (Jack Reacher, #19)",thoughtful
2769,Therese Anne Fowler,2013.0,Z: A Novel of Zelda Fitzgerald,thoughtful
2770,Kurt Vonnegut Jr.,2005.0,A Man Without a Country,thoughtful
2771,Catherine Ryan Hyde,2009.0,When I Found You,thoughtful
2772,Martha Hall Kelly,2016.0,Lilac Girls,thoughtful
2773,"James Patterson, Maxine Paetro",2008.0,"7th Heaven (Women's Murder Club, #7)",thoughtful
2774,Lee Child,2015.0,"Make Me (Jack Reacher, #20)",thoughtful
2775,Anthony Marra,2013.0,A Constellation of Vital Phenomena,thoughtful
2776,Abbi Glines,2012.0,"While It Lasts (Sea Breeze, #3)",thoughtful
2777,Will Schwalbe,2012.0,The End of Your Life Book Club,poignant
2778,Lauren Barnholdt,2007.0,Two-Way Street,nostalgic
2779,Raine Miller,2012.0,"All In (The Blackstone Affair, #2)",romantic
2780,John Flanagan,2006.0,"The Siege of Macindaw (Ranger's Apprentice, #6)",thoughtful
2781,C.S. Lewis,1961.0,A Grief Observed,poignant
2782,"Warren Ellis, Darick Robertston, Garth Ennis",1998.0,"Transmetropolitan, Vol. 1: Back on the Street (Transmetropolitan, #1)",tense
2783,Tamora Pierce,1994.0,"Emperor Mage (Immortals, #3)",thoughtful
2784,George W. Bush,2010.0,Decision Points,thoughtful
2785,"James Patterson, Gabrielle Charbonnet",2009.0,"Witch & Wizard (Witch & Wizard, #1)",magical
2786,"Jean Craighead George, John Schoenherr",1972.0,"Julie of the Wolves (Julie of the Wolves, #1)",thoughtful
2787,Judy Blume,1975.0,Forever . . .,thoughtful
2788,David McCullough,2015.0,The Wright Brothers,thoughtful
2789,Robert Ludlum,1979.0,The Matarese Circle (Matarese #1),thoughtful
2790,Jon Meacham,2008.0,American Lion: Andrew Jackson in the White House,thoughtful
2791,David Baldacci,2012.0,"The Forgotten (John Puller, #2)",thoughtful
2792,Brandon Sanderson,2015.0,"Shadows of Self (Mistborn, #5)",dark
2793,Helen Fielding,2013.0,"Mad About the Boy (Bridget Jones, #3)",thoughtful
2794,C.S. Lewis,1960.0,The Four Loves,romantic
2795,Mia Sheridan,2014.0,Archer's Voice,thoughtful
2796,Alyson Richman,2011.0,The Lost Wife,adventurous
2797,"Umberto Eco, Girolamo De Michele, Alastair McEwen",2004.0,History of Beauty,thoughtful
2798,Robert Graves,1934.0,"I, Claudius (Claudius, #1)",dark
2799,Joelle Charbonneau,2013.0,"The Testing (The Testing, #1)",thoughtful
2800,Janet Evanovich,2013.0,"Takedown Twenty (Stephanie Plum, #20)",thoughtful
2801,Kirsty Moseley,2011.0,The Boy Who Sneaks in My Bedroom Window,thoughtful
2802,Tamora Pierce,2006.0,"Terrier (Beka Cooper, #1)",thoughtful
2803,Darynda Jones,2011.0,"First Grave on the Right (Charley Davidson, #1)",dark
2804,"Amanda Lindhout, Sara Corbett",2013.0,A House in the Sky,thoughtful
2805,Vera Brosgol,2011.0,Anya's Ghost,dark
2806,Bret Easton Ellis,1987.0,The Rules of Attraction,thoughtful
2807,Kim Harrison,2005.0,"The Good, the Bad, and the Undead (The Hollows, #2)",thoughtful
2808,R.A. Salvatore,1988.0,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",thoughtful
2809,Jean Rhys,1966.0,Wide Sargasso Sea,thoughtful
2810,John Fowles,1965.0,The Magus,thoughtful
2811,David Eddings,1988.0,"King of the Murgos (The Malloreon, #2)",thoughtful
2812,Louise Rennison,2000.0,"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson, #2)",thoughtful
2813,Caroline Kepnes,2014.0,"You (You, #1)",thoughtful
2814,Laini Taylor,2014.0,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",thoughtful
2815,John Grisham,2007.0,Playing for Pizza,thoughtful
2816,Colleen Houck,2011.0,"Tiger's Curse (The Tiger Saga, #1)",thoughtful
2817,Frank Herbert,1985.0,Chapterhouse: Dune (Dune Chronicles #6),thoughtful
2818,Jacqueline Woodson,2014.0,Brown Girl Dreaming,thoughtful
2819,Mira Grant,2010.0,"Feed (Newsflesh Trilogy, #1)",thoughtful
2820,Gwyn Hyman Rubio,1998.0,Icy Sparks,thoughtful
2821,L.M. Montgomery,1917.0,"Anne's House of Dreams (Anne of Green Gables, #5)",thoughtful
2822,Steve Berry,2006.0,"The Templar Legacy (Cotton Malone, #1)",thoughtful
2823,Sue Grafton,1993.0,"J is for Judgment (Kinsey Millhone, #10)",thoughtful
2824,Katherine Howe,2009.0,The Physick Book of Deliverance Dane,thoughtful
2825,Steven Erikson,2000.0,"Deadhouse Gates (The Malazan Book of the Fallen, #2)",thoughtful
2826,Kylie Scott,2013.0,"Lick (Stage Dive, #1)",thoughtful
2827,Jeffrey Archer,1976.0,"Not a Penny More, Not a Penny Less",thoughtful
2828,Joe Abercrombie,2009.0,Best Served Cold,nostalgic
2829,Emma Healey,2014.0,Elizabeth Is Missing,thoughtful
2830,Vince Flynn,2005.0,"Consent to Kill (Mitch Rapp, #8)",thoughtful
2831,Isabel Wilkerson,2010.0,The Warmth of Other Suns: The Epic Story of America's Great Migration,tense
2832,Claire North,2014.0,The First Fifteen Lives of Harry August,thoughtful
2833,Carlos Ruiz ZafÃ³n,2011.0,"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)",thoughtful
2834,"Barbara W. Tuchman, Robert K. Massie",1962.0,The Guns of August,thoughtful
2835,Vince Flynn,2001.0,"Separation of Power (Mitch Rapp, #5)",thoughtful
2836,John Marsden,1993.0,"Tomorrow, When the War Began (Tomorrow, #1)",tense
2837,"Robert M. Edsel, Bret Witter",2009.0,"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",adventurous
2838,Ava Dellaira,2014.0,Love Letters to the Dead,romantic
2839,Helen Bryan,2007.0,War Brides,romantic
2840,Yaa Gyasi,2016.0,Homegoing,thoughtful
2841,Mary Roach,2010.0,Packing for Mars: The Curious Science of Life in the Void,poignant
2842,David Baldacci,2008.0,"Divine Justice (Camel Club, #4)",thoughtful
2843,"Mark Millar, John Romita Jr., Rob Liefeld",2010.0,"Kick-Ass (Kick-Ass, #1)",thoughtful
2844,"ImmaculÃ©e Ilibagiza, Steve Erwin",2006.0,Left to Tell: Discovering God Amidst the Rwandan Holocaust,thoughtful
2845,Michael  Grant,2011.0,"Plague (Gone, #4)",thoughtful
2846,Charles Dickens,1854.0,Hard Times,thoughtful
2847,JoÃ«l Dicker,2011.0,La VÃ©ritÃ© sur l'affaire Harry Quebert,romantic
2848,Kate Atkinson,2015.0,A God in Ruins,thoughtful
2849,Harlan Coben,2010.0,Caught,thoughtful
2850,Maria V. Snyder,2006.0,"Magic Study (Study, #2)",magical
2851,"CLAMP, Shirley Kubo",2001.0,"Chobits, Vol. 1",thoughtful
2852,"Koushun Takami, Yuji Oniki",1999.0,Battle Royale,tense
2853,Sarah Addison Allen,2010.0,The Girl Who Chased the Moon,thoughtful
2854,Nevil Shute,1950.0,A Town Like Alice,thoughtful
2855,Sophia Amoruso,2014.0,#GIRLBOSS,thoughtful
2856,Diane Chamberlain,2006.0,The Secret Life of CeeCee Wilkes,mysterious
2857,Elizabeth Peters,1975.0,Crocodile on the Sandbank (Amelia Peabody #1),thoughtful
2858,Nora Roberts,2009.0,"Bed of Roses (Bride Quartet, #2)",romantic
